NOMBRE_CIENTIFICO,NOMBRE_COMUN,NOMBRE_CIENTIFICO_RESOLUCION_POA,NOMBRE_COMUN_RESOLUCION_POA,BLOQUE,FAJA,CODIGO_ESPECIE,VOLUMEN_ESPECIE,DAP,AC,DMC,CONDICION,ESTADO,ZONA_UTM,COORDENADA_ESTE,COORDENADA_NORTE,PCA,OBSERVACION
Myroxylon balsamum , Estoraque,Myroxylon balsamum , Estoraque, ,2,28,0.8582,41,10,41,Semillero,En Pie,18S,458152,9152078,PC 07,SEMILLERO
Hura crepitans , Catahua,Hura crepitans , Catahua, ,2,29,3.2673,80,10,60,Aprovechable,En Pie,18S,458127,9152077,PC 07,
Pouteria torta , Quina quina,Pouteria torta , Quina quina, ,2,30,2.9405,60,16,41,Aprovechable,En Pie,18S,458141,9152038,PC 07,
Hura crepitans , Catahua,Hura crepitans , Catahua, ,2,31,5.1051,100,10,60,Aprovechable,En Pie,18S,458144,9151987,PC 07,
Copaifera reticulata , Copaiba,Copaifera reticulata , Copaiba, ,3,32,3.0018,70,12,56,Aprovechable,En Pie,18S,458106,9151927,PC 07,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,3,33,4.0024,70,16,51,Aprovechable,En Pie,18S,458051,9151947,PC 07,
Pouteria torta , Quina quina,Pouteria torta , Quina quina, ,3,34,3.0018,70,12,41,Aprovechable,En Pie,18S,458101,9151983,PC 07,
Manilkara bidentata , Quinilla,Manilkara bidentata , Quinilla, ,3,35,2.5015,70,10,41,Aprovechable,En Pie,18S,458102,9151984,PC 07,
Copaifera reticulata , Copaiba,Copaifera reticulata , Copaiba, ,3,36,3.7522,70,15,56,Aprovechable,En Pie,18S,458081,9152002,PC 07,
Copaifera reticulata , Copaiba,Copaifera reticulata , Copaiba, ,3,37,7.4432,90,18,56,Aprovechable,En Pie,18S,458057,9152015,PC 07,
Pouteria torta , Quina quina,Pouteria torta , Quina quina, ,3,38,6.2027,90,15,41,Aprovechable,En Pie,18S,458065,9152096,PC 07,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,3,39,5.4483,77,18,51,Aprovechable,En Pie,18S,458065,9152110,PC 07,
Hura crepitans , Catahua,Hura crepitans , Catahua, ,3,40,6.4503,95,14,60,Aprovechable,En Pie,18S,458058,9152113,PC 07,
Pouteria torta , Quina quina,Pouteria torta , Quina quina, ,3,41,3.7522,70,15,41,Aprovechable,En Pie,18S,458070,9152147,PC 07,
Hura crepitans , Catahua,Hura crepitans , Catahua, ,3,42,3.6884,85,10,60,Aprovechable,En Pie,18S,458058,9152146,PC 07,
Terminalia oblonga , Yacushapana,Terminalia oblonga , Yacushapana, ,3,43,1.5315,50,12,41,Semillero,En Pie,18S,458062,9152158,PC 07,SEMILLERO
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,3,44,11.1189,110,18,51,Semillero,En Pie,18S,458056,9152210,PC 07,SEMILLERO
Brosimum guianense , Manchinga,Brosimum guianense , Manchinga, ,3,45,6.6162,90,16,41,Aprovechable,En Pie,18S,458059,9152217,PC 07,
Brosimum guianense , Manchinga,Brosimum guianense , Manchinga, ,3,46,3.2673,80,10,41,Aprovechable,En Pie,18S,458071,9152259,PC 07,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,3,47,2.2054,60,12,51,Semillero,En Pie,18S,458047,9152269,PC 07,SEMILLERO
Copaifera reticulata , Copaiba,Copaifera reticulata , Copaiba, ,3,48,2.7568,60,15,56,Semillero,En Pie,18S,458071,9152278,PC 07,SEMILLERO
Pouteria torta , Quina quina,Pouteria torta , Quina quina, ,3,49,3.7331,75,13,41,Aprovechable,En Pie,18S,458094,9152276,PC 07,
Manilkara bidentata , Quinilla,Manilkara bidentata , Quinilla, ,3,50,6.6162,90,16,41,Aprovechable,En Pie,18S,458077,9152371,PC 07,
Copaifera reticulata , Copaiba,Copaifera reticulata , Copaiba, ,3,51,5.2276,80,16,56,Aprovechable,En Pie,18S,458062,9152418,PC 07,
Calycophyllum spruceanum , Capirona,Calycophyllum spruceanum , Capirona, ,3,52,5.149,82,15,41,Aprovechable,En Pie,18S,458079,9152427,PC 07,
Hura crepitans , Catahua,Hura crepitans , Catahua, ,3,53,3.6884,85,10,60,Aprovechable,En Pie,18S,458052,9152465,PC 07,
Copaifera reticulata , Copaiba,Copaifera reticulata , Copaiba, ,3,54,5.1689,75,18,56,Aprovechable,En Pie,18S,458050,9152471,PC 07,
Hura crepitans , Catahua,Hura crepitans , Catahua, ,3,55,5.5288,95,12,60,Aprovechable,En Pie,18S,458072,9152483,PC 07,
Terminalia oblonga , Yacushapana,Terminalia oblonga , Yacushapana, ,3,56,3.9207,80,12,41,Aprovechable,En Pie,18S,458083,9152512,PC 07,
Calycophyllum spruceanum , Capirona,Calycophyllum spruceanum , Capirona, ,3,57,9.9243,90,24,41,Aprovechable,En Pie,18S,458095,9152542,PC 07,
Ceiba pentandra , Lupuna,Ceiba pentandra , Lupuna, ,3,58,10.2102,100,20,64,Aprovechable,En Pie,18S,458077,9152536,PC 07,
Calycophyllum spruceanum , Capirona,Calycophyllum spruceanum , Capirona, ,3,59,8.648,110,14,41,Aprovechable,En Pie,18S,458066,9152532,PC 07,
Hura crepitans , Catahua,Hura crepitans , Catahua, ,3,60,8.8216,120,12,60,Semillero,En Pie,18S,458077,9152634,PC 07,SEMILLERO
Manilkara bidentata , Quinilla,Manilkara bidentata , Quinilla, ,3,61,9.8835,110,16,41,Semillero,En Pie,18S,458056,9152700,PC 07,SEMILLERO
Ceiba pentandra , Lupuna,Ceiba pentandra , Lupuna, ,3,62,10.2102,100,20,64,Aprovechable,En Pie,18S,458097,9152746,PC 07,
Copaifera reticulata , Copaiba,Copaifera reticulata , Copaiba, ,3,63,6.6162,90,16,56,Aprovechable,En Pie,18S,458106,9152748,PC 07,
Handroanthus incanus , Tahuari, ,, ,3,64,2.573,60,14,46,Aprovechable,En Pie,18S,458108,9152762,PC 07,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,3,65,2.3164,55,15,51,Semillero,En Pie,18S,458039,9152819,PC 07,SEMILLERO
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,3,66,3.0018,70,12,51,Semillero,En Pie,18S,458071,9152908,PC 07,SEMILLERO
Pouteria torta , Quina quina,Pouteria torta , Quina quina, ,3,67,2.5883,65,12,41,Aprovechable,En Pie,18S,458068,9152910,PC 07,
Copaifera reticulata , Copaiba,Copaifera reticulata , Copaiba, ,3,68,3.451,65,16,56,Aprovechable,En Pie,18S,458052,9152999,PC 07,
Copaifera reticulata , Copaiba,Copaifera reticulata , Copaiba, ,3,69,4.1351,90,10,56,Aprovechable,En Pie,18S,458075,9153122,PC 07,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,3,70,2.5883,65,12,51,Aprovechable,En Pie,18S,458063,9153197,PC 07,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,4,71,13.503,115,20,51,Aprovechable,En Pie,18S,457983,9153690,PC 07,
Hura crepitans , Catahua,Hura crepitans , Catahua, ,4,72,7.4126,110,12,60,Aprovechable,En Pie,18S,457993,9153645,PC 07,
Manilkara bidentata , Quinilla,Manilkara bidentata , Quinilla, ,4,73,4.3074,75,15,41,Aprovechable,En Pie,18S,458007,9153639,PC 07,
Hura crepitans , Catahua,Hura crepitans , Catahua, ,4,74,6.2027,90,15,60,Aprovechable,En Pie,18S,457991,9153613,PC 07,
Copaifera reticulata , Copaiba,Copaifera reticulata , Copaiba, ,4,75,5.032,74,18,56,Aprovechable,En Pie,18S,457971,9153621,PC 07,
Copaifera reticulata , Copaiba,Copaifera reticulata , Copaiba, ,4,76,2.9405,60,16,56,Semillero,En Pie,18S,457989,9153481,PC 07,SEMILLERO
Handroanthus incanus , Tahuari, ,, ,4,77,2.6253,55,17,46,Aprovechable,En Pie,18S,457977,9153485,PC 07,
Pouteria torta , Quina quina,Pouteria torta , Quina quina, ,4,78,5.2276,80,16,41,Aprovechable,En Pie,18S,458012,9153395,PC 07,
Copaifera reticulata , Copaiba,Copaifera reticulata , Copaiba, ,4,79,3.6667,65,17,56,Aprovechable,En Pie,18S,458021,9153361,PC 07,
Pouteria torta , Quina quina,Pouteria torta , Quina quina, ,4,80,2.3164,55,15,41,Semillero,En Pie,18S,458042,9153240,PC 07,SEMILLERO
Myroxylon balsamum , Estoraque,Myroxylon balsamum , Estoraque, ,4,81,3.6667,65,17,41,Aprovechable,En Pie,18S,458047,9153255,PC 07,
Virola albidiflora , Caupuri, ,, ,4,82,4.7452,65,22,41,Aprovechable,En Pie,18S,458045,9153248,PC 07,
Simarouba amara , Marupa,Simarouba amara , Marupa, ,4,83,3.0018,70,12,46,Aprovechable,En Pie,18S,458017,9153189,PC 07,
Ormosia coccinea , Huayruro,Ormosia coccinea , Huayruro, ,4,84,7.5053,99,15,46,Aprovechable,En Pie,18S,458012,9153082,PC 07,
Terminalia oblonga , Yacushapana,Terminalia oblonga , Yacushapana, ,4,86,4.0203,75,14,41,Aprovechable,En Pie,18S,457993,9152868,PC 07,
Calycophyllum spruceanum , Capirona,Calycophyllum spruceanum , Capirona, ,4,87,3.8959,67,17,41,Aprovechable,En Pie,18S,458020,9152840,PC 07,
Ceiba pentandra , Lupuna,Ceiba pentandra , Lupuna, ,4,88,6.6162,90,16,64,Aprovechable,En Pie,18S,458011,9152828,PC 07,
Calycophyllum spruceanum , Capirona,Calycophyllum spruceanum , Capirona, ,4,89,6.6392,85,18,41,Aprovechable,En Pie,18S,458006,9152724,PC 07,
Copaifera reticulata , Copaiba,Copaifera reticulata , Copaiba, ,4,90,4.4476,66,20,56,Aprovechable,En Pie,18S,458010,9152716,PC 07,
Myroxylon balsamum , Estoraque,Myroxylon balsamum , Estoraque, ,4,91,2.162,55,14,41,Semillero,En Pie,18S,458003,9152662,PC 07,SEMILLERO
Pouteria torta , Quina quina,Pouteria torta , Quina quina, ,4,92,3.1588,75,11,41,Semillero,En Pie,18S,458031,9152629,PC 07,SEMILLERO
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,4,93,12.3543,110,20,51,Semillero,En Pie,18S,457976,9152592,PC 07,SEMILLERO
Copaifera reticulata , Copaiba,Copaifera reticulata , Copaiba, ,4,94,4.9695,78,16,56,Semillero,En Pie,18S,457979,9152547,PC 07,SEMILLERO
Pouteria torta , Quina quina,Pouteria torta , Quina quina, ,4,95,6.1772,110,10,41,Aprovechable,En Pie,18S,458030,9152500,PC 07,
Hura crepitans , Catahua,Hura crepitans , Catahua, ,4,96,7.3513,120,10,60,Aprovechable,En Pie,18S,458012,9152486,PC 07,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,4,97,5.2276,80,16,51,Aprovechable,Muerto,18S,458028,9152493,PC 07,SECO PARADO
Hura crepitans , Catahua,Hura crepitans , Catahua, ,4,98,4.4261,85,12,60,Aprovechable,En Pie,18S,458024,9152473,PC 07,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,4,99,7.4432,90,18,51,Aprovechable,En Pie,18S,457999,9152462,PC 07,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,4,100,11.9651,125,15,51,Aprovechable,En Pie,18S,458014,9152466,PC 07,
Hura crepitans , Catahua,Hura crepitans , Catahua, ,4,101,8.8216,120,12,60,Aprovechable,En Pie,18S,458014,9152418,PC 07,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,4,102,5.2276,80,16,51,Aprovechable,En Pie,18S,457990,9152364,PC 07,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,4,103,8.648,110,14,51,Aprovechable,En Pie,18S,457979,9152256,PC 07,
Pouteria torta , Quina quina,Pouteria torta , Quina quina, ,4,104,2.7516,70,11,41,Aprovechable,En Pie,18S,458013,9152251,PC 07,
Hura crepitans , Catahua,Hura crepitans , Catahua, ,4,105,5.1051,100,10,60,Aprovechable,En Pie,18S,458001,9152141,PC 07,
Pouteria torta , Quina quina,Pouteria torta , Quina quina, ,4,106,2.7516,70,11,41,Aprovechable,En Pie,18S,458022,9152108,PC 07,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,4,107,2.162,55,14,51,Semillero,En Pie,18S,458009,9152124,PC 07,SEMILLERO
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,5,108,6.4503,95,14,51,Aprovechable,En Pie,18S,457949,9152052,PC 07,
Hura crepitans , Catahua,Hura crepitans , Catahua, ,5,109,12.9414,130,15,60,Aprovechable,En Pie,18S,457906,9152079,PC 07,
Manilkara bidentata , Quinilla,Manilkara bidentata , Quinilla, ,5,110,3.4028,69,14,41,Aprovechable,En Pie,18S,457916,9152082,PC 07,
Copaifera reticulata , Copaiba,Copaifera reticulata , Copaiba, ,5,111,1.8378,60,10,56,Aprovechable,En Pie,18S,457927,9152159,PC 07,
Manilkara bidentata , Quinilla,Manilkara bidentata , Quinilla, ,5,112,3.5021,70,14,41,Aprovechable,En Pie,18S,457924,9152166,PC 07,
Copaifera reticulata , Copaiba,Copaifera reticulata , Copaiba, ,5,113,5.1851,92,12,56,Aprovechable,En Pie,18S,457930,9152257,PC 07,
Calycophyllum spruceanum , Capirona,Calycophyllum spruceanum , Capirona, ,5,114,6.6392,85,18,41,Aprovechable,En Pie,18S,457953,9152326,PC 07,
Manilkara bidentata , Quinilla,Manilkara bidentata , Quinilla, ,5,115,4.6074,95,10,41,Aprovechable,En Pie,18S,457945,9152349,PC 07,
Hymenaea courbaril , Azúcar huayo,Hymenaea courbaril , Azúcar huayo, ,5,116,3.0018,70,12,51,Aprovechable,En Pie,18S,457936,9152388,PC 07,
Hura crepitans , Catahua,Hura crepitans , Catahua, ,5,117,10.3531,130,12,60,Aprovechable,En Pie,18S,457925,9152423,PC 07,
Calycophyllum spruceanum , Capirona,Calycophyllum spruceanum , Capirona, ,5,118,5.8811,80,18,41,Aprovechable,En Pie,18S,457958,9152413,PC 07,
Myroxylon balsamum , Estoraque,Myroxylon balsamum , Estoraque, ,5,119,2.7568,60,15,41,Semillero,En Pie,18S,457933,9152512,PC 07,SEMILLERO
Copaifera reticulata , Copaiba,Copaifera reticulata , Copaiba, ,5,120,7.6577,100,15,56,Aprovechable,En Pie,18S,457912,9152655,PC 07,
Ceiba pentandra , Lupuna,Ceiba pentandra , Lupuna, ,5,121,6.1261,100,12,64,Aprovechable,En Pie,18S,457929,9152683,PC 07,
Myroxylon balsamum , Estoraque,Myroxylon balsamum , Estoraque, ,5,122,2.573,60,14,41,Aprovechable,En Pie,18S,457902,9152696,PC 07,
Manilkara bidentata , Quinilla,Manilkara bidentata , Quinilla, ,5,123,5.735,79,18,41,Aprovechable,En Pie,18S,457910,9152709,PC 07,
Terminalia oblonga , Yacushapana,Terminalia oblonga , Yacushapana, ,5,124,5.1051,100,10,41,Aprovechable,En Pie,18S,457945,9152789,PC 07,
Copaifera reticulata , Copaiba,Copaifera reticulata , Copaiba, ,5,125,8.1018,115,12,56,Aprovechable,En Pie,18S,457930,9152870,PC 07,
Copaifera reticulata , Copaiba,Copaifera reticulata , Copaiba, ,5,126,5.7892,90,14,56,Aprovechable,En Pie,18S,457937,9153064,PC 07,
Terminalia oblonga , Yacushapana,Terminalia oblonga , Yacushapana, ,5,127,4.5946,75,16,41,Aprovechable,En Pie,18S,457913,9153120,PC 07,
Copaifera reticulata , Copaiba,Copaifera reticulata , Copaiba, ,5,128,4.5946,75,16,56,Aprovechable,En Pie,18S,457944,9153129,PC 07,
Ceiba pentandra , Lupuna,Ceiba pentandra , Lupuna, ,5,129,9.2658,110,15,64,Aprovechable,En Pie,18S,457954,9153216,PC 07,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,5,130,10.2919,120,14,51,Aprovechable,En Pie,18S,457933,9153290,PC 07,
Manilkara bidentata , Quinilla,Manilkara bidentata , Quinilla, ,5,131,8.2703,90,20,41,Aprovechable,En Pie,18S,457960,9153289,PC 07,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,5,132,9.0973,90,22,51,Aprovechable,En Pie,18S,457948,9153384,PC 07,
Ceiba samauma , Huimba,Ceiba samauma , Huimba, ,5,133,5.8811,80,18,51,Aprovechable,En Pie,18S,457934,9153389,PC 07,
Manilkara bidentata , Quinilla,Manilkara bidentata , Quinilla, ,5,134,1.8532,55,12,41,Semillero,En Pie,18S,457947,9153442,PC 07,SEMILLERO
Ceiba samauma , Huimba,Ceiba samauma , Huimba, ,5,135,6.6162,90,16,51,Aprovechable,En Pie,18S,457941,9153486,PC 07,
Copaifera reticulata , Copaiba,Copaifera reticulata , Copaiba, ,5,136,9.1892,100,18,56,Aprovechable,En Pie,18S,457943,9153540,PC 07,
Hura crepitans , Catahua,Hura crepitans , Catahua, ,5,137,8.6276,130,10,60,Aprovechable,En Pie,18S,457915,9153543,PC 07,
Sloanea guianensis , Huangana casho,Sloanea guianensis , Huangana casho, ,5,138,5.7892,90,14,41,Aprovechable,En Pie,18S,457920,9153563,PC 07,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,5,139,7.1471,100,14,51,Aprovechable,En Pie,18S,457928,9153595,PC 07,
Brosimum guianense , Manchinga,Brosimum guianense , Manchinga, ,5,140,4.2525,70,17,41,Aprovechable,En Pie,18S,457939,9153626,PC 07,
Ceiba pentandra , Lupuna,Ceiba pentandra , Lupuna, ,5,141,5.7432,75,20,64,Aprovechable,En Pie,18S,457931,9153662,PC 07,
Copaifera reticulata , Copaiba,Copaifera reticulata , Copaiba, ,5,142,1.8378,60,10,56,Semillero,En Pie,18S,457935,9153702,PC 07,SEMILLERO
Copaifera reticulata , Copaiba,Copaifera reticulata , Copaiba, ,5,143,4.5946,75,16,56,Aprovechable,En Pie,18S,457931,9153719,PC 07,
Myroxylon balsamum , Estoraque,Myroxylon balsamum , Estoraque, ,5,144,0.9439,43,10,41,Semillero,En Pie,18S,457934,9153733,PC 07,SEMILLERO
Brosimum guianense , Manchinga,Brosimum guianense , Manchinga, ,5,145,4.5946,75,16,41,Aprovechable,En Pie,18S,457955,9153775,PC 07,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,5,146,7.3513,120,10,51,Aprovechable,En Pie,18S,457933,9153820,PC 07,
Ceiba samauma , Huimba,Ceiba samauma , Huimba, ,5,147,2.5015,70,10,51,Semillero,En Pie,18S,457925,9154025,PC 07,SEMILLERO
Sloanea guianensis , Huangana casho,Sloanea guianensis , Huangana casho, ,12,148,3.7331,75,13,41,Semillero,En Pie,18S,457441,9154066,PC 07,SEMILLERO
Pouteria torta , Quina quina,Pouteria torta , Quina quina, ,12,149,2.8716,75,10,41,Aprovechable,En Pie,18S,457457,9153702,PC 07,
Pouteria torta , Quina quina,Pouteria torta , Quina quina, ,12,150,1.9144,50,15,41,Aprovechable,En Pie,18S,457434,9153602,PC 07,
Manilkara bidentata , Quinilla,Manilkara bidentata , Quinilla, ,12,151,4.8818,75,17,41,Aprovechable,En Pie,18S,457421,9153411,PC 07,
Manilkara bidentata , Quinilla,Manilkara bidentata , Quinilla, ,12,152,4.0024,70,16,41,Aprovechable,En Pie,18S,457449,9153399,PC 07,
Copaifera reticulata , Copaiba,Copaifera reticulata , Copaiba, ,12,153,5.1689,75,18,56,Aprovechable,En Pie,18S,457433,9153400,PC 07,
Copaifera reticulata , Copaiba,Copaifera reticulata , Copaiba, ,12,154,3.7522,70,15,56,Semillero,En Pie,18S,457454,9153367,PC 07,SEMILLERO
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,12,155,2.573,60,14,51,Semillero,En Pie,18S,457450,9153323,PC 07,SEMILLERO
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,12,156,7.6577,100,15,51,Aprovechable,En Pie,18S,457450,9153305,PC 07,
Brosimum guianense , Manchinga,Brosimum guianense , Manchinga, ,12,157,5.8811,80,18,41,Aprovechable,En Pie,18S,457450,9153263,PC 07,
Ormosia coccinea , Huayruro,Ormosia coccinea , Huayruro, ,12,158,11.7622,120,16,46,Aprovechable,En Pie,18S,457411,9153258,PC 07,
Hura crepitans , Catahua,Hura crepitans , Catahua, ,12,159,7.3513,120,10,60,Aprovechable,En Pie,18S,457435,9153236,PC 07,
Hura crepitans , Catahua,Hura crepitans , Catahua, ,12,160,10.5012,110,17,60,Aprovechable,En Pie,18S,457456,9153230,PC 07,
Calycophyllum spruceanum , Capirona,Calycophyllum spruceanum , Capirona, ,12,161,8.1682,100,16,41,Aprovechable,En Pie,18S,457433,9153215,PC 07,
Copaifera reticulata , Copaiba,Copaifera reticulata , Copaiba, ,12,162,2.9405,60,16,56,Semillero,En Pie,18S,457438,9153225,PC 07,SEMILLERO
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,12,163,3.2673,80,10,51,Aprovechable,En Pie,18S,457462,9153216,PC 07,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,12,164,11.1189,110,18,51,Aprovechable,En Pie,18S,457425,9153156,PC 07,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,12,165,3.6667,65,17,51,Semillero,En Pie,18S,457443,9153127,PC 07,SEMILLERO
Myroxylon balsamum , Estoraque,Myroxylon balsamum , Estoraque, ,12,166,1.1372,45,11,41,Aprovechable,En Pie,18S,457471,9153091,PC 07,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,12,167,6.2703,85,17,51,Aprovechable,En Pie,18S,457420,9153096,PC 07,
Manilkara bidentata , Quinilla,Manilkara bidentata , Quinilla, ,12,168,5.4032,84,15,41,Aprovechable,En Pie,18S,457426,9153093,PC 07,
Calycophyllum spruceanum , Capirona,Calycophyllum spruceanum , Capirona, ,12,169,3.9207,80,12,41,Aprovechable,En Pie,18S,457441,9153082,PC 07,
Manilkara bidentata , Quinilla,Manilkara bidentata , Quinilla, ,12,170,9.2147,95,20,41,Aprovechable,En Pie,18S,457433,9153039,PC 07,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,12,171,10.2102,100,20,51,Aprovechable,En Pie,18S,457441,9153030,PC 07,
Hura crepitans , Catahua,Hura crepitans , Catahua, ,12,172,14.2167,118,20,60,Aprovechable,En Pie,18S,457425,9152962,PC 07,
Pouteria torta , Quina quina,Pouteria torta , Quina quina, ,12,173,4.9009,80,15,41,Aprovechable,En Pie,18S,457437,9152941,PC 07,
Calycophyllum spruceanum , Capirona,Calycophyllum spruceanum , Capirona, ,12,174,7.0297,90,17,41,Aprovechable,En Pie,18S,457454,9152917,PC 07,
