idx,label,folder,file,image_path,raw_x,raw_y,pixel_x,pixel_y,coord_mode_used,col0,row0,debug_patch
19,0,2023-01,25-PUC-C-DE-CPC-002-12_23032023_004,/mnt/parscratch/users/aca21jo/2025_Forge/OSINFOR_data/01. Ortomosaicos/2023/2023-01/25-PUC-C-DE-CPC-002-12_23032023_004_idw_transparent_mosaic_group1.tif,0.4458401331903665,0.8341355190867407,7074.591233464736,11838.88542239811,normalized,6963,11727,./outputs/binary_resnet50_rgb_balanced_cuda/debug_patches/train/0019_0.png
20,0,2023-01,25-PUC-C-DE-CPC-002-12_26032023_007,/mnt/parscratch/users/aca21jo/2025_Forge/OSINFOR_data/01. Ortomosaicos/2023/2023-01/25-PUC-C-DE-CPC-002-12_26032023_007_idw_transparent_mosaic_group1.tif,0.1276282284253177,0.9124683196131951,1955.7749723895686,11434.140513072947,normalized,1844,11322,./outputs/binary_resnet50_rgb_balanced_cuda/debug_patches/train/0020_0.png
21,0,2023-01,25-PUC-C-DE-CPC-002-12_26032023_006,/mnt/parscratch/users/aca21jo/2025_Forge/OSINFOR_data/01. Ortomosaicos/2023/2023-01/25-PUC-C-DE-CPC-002-12_26032023_006_idw_transparent_mosaic_group1.tif,0.7546501970930551,0.5497276424315833,11277.492545358617,6475.24190020162,normalized,11165,6363,./outputs/binary_resnet50_rgb_balanced_cuda/debug_patches/train/0021_0.png
22,0,2023-01,25-PUC-C-DE-CPC-002-12_26032023_005,/mnt/parscratch/users/aca21jo/2025_Forge/OSINFOR_data/01. Ortomosaicos/2023/2023-01/25-PUC-C-DE-CPC-002-12_26032023_005_idw_transparent_mosaic_group1.tif,0.7430008642596798,0.6606916797415274,13603.602823730478,7897.9083396302185,normalized,13492,7786,./outputs/binary_resnet50_rgb_balanced_cuda/debug_patches/train/0022_0.png
23,0,2023-01,25-PUC-C-DE-CPC-002-12_20032023_003_IDW_transparen,/mnt/parscratch/users/aca21jo/2025_Forge/OSINFOR_data/01. Ortomosaicos/2023/2023-01/25-PUC-C-DE-CPC-002-12_20032023_003_IDW_transparent_mosaic_group1.tif,0.08719516096612201,0.15644988833798049,1702.0495420587017,2325.471140255742,normalized,1590,2213,./outputs/binary_resnet50_rgb_balanced_cuda/debug_patches/train/0023_0.png
24,0,2023-01,25-PUC-C-DE-CPC-002-12_20032023_003_IDW_transparen,/mnt/parscratch/users/aca21jo/2025_Forge/OSINFOR_data/01. Ortomosaicos/2023/2023-01/25-PUC-C-DE-CPC-002-12_20032023_003_IDW_transparent_mosaic_group1.tif,0.6619039859075162,0.4301723112519768,12920.365804914716,6394.081234449383,normalized,12808,6282,./outputs/binary_resnet50_rgb_balanced_cuda/debug_patches/train/0024_0.png
25,0,2023-01,25-PUC-C-DE-CPC-002-12_20032023_003_IDW_transparen,/mnt/parscratch/users/aca21jo/2025_Forge/OSINFOR_data/01. Ortomosaicos/2023/2023-01/25-PUC-C-DE-CPC-002-12_20032023_003_IDW_transparent_mosaic_group1.tif,0.07207398493932995,0.4273183783232301,1406.8841860157206,6351.660375396492,normalized,1295,6240,./outputs/binary_resnet50_rgb_balanced_cuda/debug_patches/train/0025_0.png
26,0,2023-01,25-PUC-C-DE-CPC-002-12_20032023_003_IDW_transparen,/mnt/parscratch/users/aca21jo/2025_Forge/OSINFOR_data/01. Ortomosaicos/2023/2023-01/25-PUC-C-DE-CPC-002-12_20032023_003_IDW_transparent_mosaic_group1.tif,0.15112842283004801,0.6616705958931471,2950.026813642537,9835.07173735574,normalized,2838,9723,./outputs/binary_resnet50_rgb_balanced_cuda/debug_patches/train/0026_0.png
27,0,2023-01,25-PUC-C-DE-CPC-002-12_26032023_002,/mnt/parscratch/users/aca21jo/2025_Forge/OSINFOR_data/01. Ortomosaicos/2023/2023-01/25-PUC-C-DE-CPC-002-12_26032023_002_idw_transparent_mosaic_group1.tif,0.2349426791889351,0.7287512531243898,3473.3925691292166,8785.096356414519,normalized,3361,8673,./outputs/binary_resnet50_rgb_balanced_cuda/debug_patches/train/0027_0.png
28,0,2023-01,25-PUC-C-DE-CPC-002-12_20032023_003_IDW_transparen,/mnt/parscratch/users/aca21jo/2025_Forge/OSINFOR_data/01. Ortomosaicos/2023/2023-01/25-PUC-C-DE-CPC-002-12_20032023_003_IDW_transparent_mosaic_group1.tif,0.8280524752434835,0.8675741563260121,16163.584316752796,12895.622259629843,normalized,16052,12784,./outputs/binary_resnet50_rgb_balanced_cuda/debug_patches/train/0028_0.png
29,0,2023-01,25-PUC-C-DE-CPC-002-12_26032023_002,/mnt/parscratch/users/aca21jo/2025_Forge/OSINFOR_data/01. Ortomosaicos/2023/2023-01/25-PUC-C-DE-CPC-002-12_26032023_002_idw_transparent_mosaic_group1.tif,0.45547804772915673,0.6549418946485638,6733.787457627853,7895.324539988436,normalized,6622,7783,./outputs/binary_resnet50_rgb_balanced_cuda/debug_patches/train/0029_0.png
30,0,2023-01,25-PUC-C-DE-CPC-002-12_26032023_006,/mnt/parscratch/users/aca21jo/2025_Forge/OSINFOR_data/01. Ortomosaicos/2023/2023-01/25-PUC-C-DE-CPC-002-12_26032023_006_idw_transparent_mosaic_group1.tif,0.5330726414322164,0.14008286165302825,7966.237553563043,1650.0360274110196,normalized,7854,1538,./outputs/binary_resnet50_rgb_balanced_cuda/debug_patches/train/0030_0.png
31,0,2023-01,25-PUC-C-DE-CPC-002-12_20032023_003_IDW_transparen,/mnt/parscratch/users/aca21jo/2025_Forge/OSINFOR_data/01. Ortomosaicos/2023/2023-01/25-PUC-C-DE-CPC-002-12_20032023_003_IDW_transparent_mosaic_group1.tif,0.9132937791527048,0.8878728461765243,17827.494569060796,13197.341985567857,normalized,17715,13085,./outputs/binary_resnet50_rgb_balanced_cuda/debug_patches/train/0031_0.png
32,0,2023-01,25-PUC-C-DE-CPC-002-12_20032023_003_IDW_transparen,/mnt/parscratch/users/aca21jo/2025_Forge/OSINFOR_data/01. Ortomosaicos/2023/2023-01/25-PUC-C-DE-CPC-002-12_20032023_003_IDW_transparent_mosaic_group1.tif,0.25834115434888955,0.30630253292235166,5042.8193328903235,4552.880849357835,normalized,4931,4441,./outputs/binary_resnet50_rgb_balanced_cuda/debug_patches/train/0032_0.png
33,0,2023-01,25-PUC-C-DE-CPC-002-12_26032023_006,/mnt/parscratch/users/aca21jo/2025_Forge/OSINFOR_data/01. Ortomosaicos/2023/2023-01/25-PUC-C-DE-CPC-002-12_26032023_006_idw_transparent_mosaic_group1.tif,0.048149616395815616,0.841924921311959,719.5478674190686,9917.033648133565,normalized,608,9805,./outputs/binary_resnet50_rgb_balanced_cuda/debug_patches/train/0033_0.png
34,0,2023-01,25-PUC-C-DE-CPC-002-12_26032023_006,/mnt/parscratch/users/aca21jo/2025_Forge/OSINFOR_data/01. Ortomosaicos/2023/2023-01/25-PUC-C-DE-CPC-002-12_26032023_006_idw_transparent_mosaic_group1.tif,0.8021960237737907,0.44280609993581316,11988.017379275529,5215.813051143943,normalized,11876,5104,./outputs/binary_resnet50_rgb_balanced_cuda/debug_patches/train/0034_0.png
35,0,2023-01,25-PUC-C-DE-CPC-002-12_26032023_005,/mnt/parscratch/users/aca21jo/2025_Forge/OSINFOR_data/01. Ortomosaicos/2023/2023-01/25-PUC-C-DE-CPC-002-12_26032023_005_idw_transparent_mosaic_group1.tif,0.0669382301832514,0.7878365810600052,1225.5720564251499,9417.798489991303,normalized,1114,9306,./outputs/binary_resnet50_rgb_balanced_cuda/debug_patches/train/0035_0.png
36,0,2023-01,25-PUC-C-DE-CPC-002-12_26032023_005,/mnt/parscratch/users/aca21jo/2025_Forge/OSINFOR_data/01. Ortomosaicos/2023/2023-01/25-PUC-C-DE-CPC-002-12_26032023_005_idw_transparent_mosaic_group1.tif,0.14485214862860385,0.07727162469844526,2652.097989241108,923.7050016452146,normalized,2540,812,./outputs/binary_resnet50_rgb_balanced_cuda/debug_patches/train/0036_0.png
37,0,2023-01,25-PUC-C-DE-CPC-002-12_20032023_003_IDW_transparen,/mnt/parscratch/users/aca21jo/2025_Forge/OSINFOR_data/01. Ortomosaicos/2023/2023-01/25-PUC-C-DE-CPC-002-12_20032023_003_IDW_transparent_mosaic_group1.tif,0.07021719456472707,0.39035866745101927,1370.6396379034722,5802.29123299195,normalized,1259,5690,./outputs/binary_resnet50_rgb_balanced_cuda/debug_patches/train/0037_0.png
38,0,2023-01,25-PUC-C-DE-CPC-002-12_26032023_002,/mnt/parscratch/users/aca21jo/2025_Forge/OSINFOR_data/01. Ortomosaicos/2023/2023-01/25-PUC-C-DE-CPC-002-12_26032023_002_idw_transparent_mosaic_group1.tif,0.08335828622975903,0.6742585014245915,1232.3689036207575,8128.186234673451,normalized,1120,8016,./outputs/binary_resnet50_rgb_balanced_cuda/debug_patches/train/0038_0.png
39,0,2023-01,25-PUC-C-DE-CPC-002-12_26032023_005,/mnt/parscratch/users/aca21jo/2025_Forge/OSINFOR_data/01. Ortomosaicos/2023/2023-01/25-PUC-C-DE-CPC-002-12_26032023_005_idw_transparent_mosaic_group1.tif,0.2617226456184822,0.5002710255003039,4791.879918628791,5980.239838830633,normalized,4680,5868,./outputs/binary_resnet50_rgb_balanced_cuda/debug_patches/train/0039_0.png
304,1,2023-10,25-ATAP-MAD-A-010-08_2023_25062023_1_IDW_transpare,/mnt/parscratch/users/aca21jo/2025_Forge/OSINFOR_data/01. Ortomosaicos/2023/2023-10/25-ATAP-MAD-A-010-08_2023_25062023_1_IDW_transparent_mosaic_group1.tif,0.48191403800105476,0.3446172194713037,12200.135786034702,4121.966562096263,normalized,12088,4010,./outputs/binary_resnet50_rgb_balanced_cuda/debug_patches/train/0304_1.png
305,1,2023-10,25-ATAP-MAD-A-010-08_2023_25062023_1_IDW_transpare,/mnt/parscratch/users/aca21jo/2025_Forge/OSINFOR_data/01. Ortomosaicos/2023/2023-10/25-ATAP-MAD-A-010-08_2023_25062023_1_IDW_transparent_mosaic_group1.tif,0.9471382817110384,0.5837359638183541,23977.752739796648,6982.065863231333,normalized,23866,6870,./outputs/binary_resnet50_rgb_balanced_cuda/debug_patches/train/0305_1.png
306,1,2023-10,25-ATAP-MAD-A-010-08_2023_25062023_1_IDW_transpare,/mnt/parscratch/users/aca21jo/2025_Forge/OSINFOR_data/01. Ortomosaicos/2023/2023-10/25-ATAP-MAD-A-010-08_2023_25062023_1_IDW_transparent_mosaic_group1.tif,0.7307832489462269,0.34754799995429136,18500.50873032268,4157.021627453279,normalized,18389,4045,./outputs/binary_resnet50_rgb_balanced_cuda/debug_patches/train/0306_1.png
307,1,2023-10,25-ATAP-MAD-A-010-08_2023_25062023_1_IDW_transpare,/mnt/parscratch/users/aca21jo/2025_Forge/OSINFOR_data/01. Ortomosaicos/2023/2023-10/25-ATAP-MAD-A-010-08_2023_25062023_1_IDW_transparent_mosaic_group1.tif,0.1745793073322015,0.9207098258204699,4419.649744422013,11012.61022663864,normalized,4308,10901,./outputs/binary_resnet50_rgb_balanced_cuda/debug_patches/train/0307_1.png
309,1,2023-10,25-ATAP-MAD-A-010-08_2023_25062023_1_IDW_transpare,/mnt/parscratch/users/aca21jo/2025_Forge/OSINFOR_data/01. Ortomosaicos/2023/2023-10/25-ATAP-MAD-A-010-08_2023_25062023_1_IDW_transparent_mosaic_group1.tif,0.7328485646712181,0.11257089649232165,18552.794263216558,1346.460492944659,normalized,18441,1234,./outputs/binary_resnet50_rgb_balanced_cuda/debug_patches/train/0309_1.png
310,1,2023-10,25-ATAP-MAD-A-010-08_2023_25062023_1_IDW_transpare,/mnt/parscratch/users/aca21jo/2025_Forge/OSINFOR_data/01. Ortomosaicos/2023/2023-10/25-ATAP-MAD-A-010-08_2023_25062023_1_IDW_transparent_mosaic_group1.tif,0.33484792320129586,0.27931757946349045,8477.010023764005,3340.9175679628092,normalized,8365,3229,./outputs/binary_resnet50_rgb_balanced_cuda/debug_patches/train/0310_1.png
311,1,2023-10,25-ATAP-MAD-A-010-08_2023_25062023_1_IDW_transpare,/mnt/parscratch/users/aca21jo/2025_Forge/OSINFOR_data/01. Ortomosaicos/2023/2023-10/25-ATAP-MAD-A-010-08_2023_25062023_1_IDW_transparent_mosaic_group1.tif,0.401765327211137,0.1294400480012922,10171.091023677145,1548.2324141434558,normalized,10059,1436,./outputs/binary_resnet50_rgb_balanced_cuda/debug_patches/train/0311_1.png
312,1,2023-10,25-ATAP-MAD-A-010-08_2023_25062023_1_IDW_transpare,/mnt/parscratch/users/aca21jo/2025_Forge/OSINFOR_data/01. Ortomosaicos/2023/2023-10/25-ATAP-MAD-A-010-08_2023_25062023_1_IDW_transparent_mosaic_group1.tif,0.7123927240950046,0.7565606867933692,18034.93420318914,9049.22237473549,normalized,17923,8937,./outputs/binary_resnet50_rgb_balanced_cuda/debug_patches/train/0312_1.png
317,1,2023-10,25-ATAP-MAD-A-010-08_2023_25062023_1_IDW_transpare,/mnt/parscratch/users/aca21jo/2025_Forge/OSINFOR_data/01. Ortomosaicos/2023/2023-10/25-ATAP-MAD-A-010-08_2023_25062023_1_IDW_transparent_mosaic_group1.tif,0.9656221396294206,0.7789836185002907,24445.690086858413,9317.423060881978,normalized,24334,9205,./outputs/binary_resnet50_rgb_balanced_cuda/debug_patches/train/0317_1.png
318,1,2023-10,25-ATAP-MAD-A-010-08_2023_25062023_1_IDW_transpare,/mnt/parscratch/users/aca21jo/2025_Forge/OSINFOR_data/01. Ortomosaicos/2023/2023-10/25-ATAP-MAD-A-010-08_2023_25062023_1_IDW_transparent_mosaic_group1.tif,0.9784028015481647,0.7452814261880192,24769.24532399334,8914.311138634897,normalized,24657,8802,./outputs/binary_resnet50_rgb_balanced_cuda/debug_patches/train/0318_1.png
319,1,2023-10,25-ATAP-MAD-A-010-08_2023_25062023_1_IDW_transpare,/mnt/parscratch/users/aca21jo/2025_Forge/OSINFOR_data/01. Ortomosaicos/2023/2023-10/25-ATAP-MAD-A-010-08_2023_25062023_1_IDW_transparent_mosaic_group1.tif,0.4904920685513886,0.9753642628035112,12417.297207446954,11666.331947392797,normalized,12305,11554,./outputs/binary_resnet50_rgb_balanced_cuda/debug_patches/train/0319_1.png
320,1,2023-10,25-ATAP-MAD-A-010-08_2023_25062023_1_IDW_transpare,/mnt/parscratch/users/aca21jo/2025_Forge/OSINFOR_data/01. Ortomosaicos/2023/2023-10/25-ATAP-MAD-A-010-08_2023_25062023_1_IDW_transparent_mosaic_group1.tif,0.11821062728945271,0.7748562402417275,2992.620240459785,9268.055489531303,normalized,2881,9156,./outputs/binary_resnet50_rgb_balanced_cuda/debug_patches/train/0320_1.png
427,1,2023-17,12-SECPER-FMC-2020-01_005_06102023,/mnt/parscratch/users/aca21jo/2025_Forge/OSINFOR_data/01. Ortomosaicos/2023/2023-17/12-SECPER-FMC-2020-01_005_06102023_idw_transparent_mosaic_group1.tif,0.5301024230620631,0.3857186366989163,5524.727453152822,4499.793615729558,normalized,5413,4388,./outputs/binary_resnet50_rgb_balanced_cuda/debug_patches/train/0427_1.png
453,1,2023-17,12-SECPER-FMC-2020-01_005_06102023,/mnt/parscratch/users/aca21jo/2025_Forge/OSINFOR_data/01. Ortomosaicos/2023/2023-17/12-SECPER-FMC-2020-01_005_06102023_idw_transparent_mosaic_group1.tif,0.4137261633221299,0.14885929084652683,4311.854074143238,1736.592487015582,normalized,4200,1625,./outputs/binary_resnet50_rgb_balanced_cuda/debug_patches/train/0453_1.png
460,1,2023-18,16-CONP-MAD-SD-023-15_29102023_034_PV14_8,/mnt/parscratch/users/aca21jo/2025_Forge/OSINFOR_data/01. Ortomosaicos/2023/2023-18/16-CONP-MAD-SD-023-15_29102023_034_PV14_8_idw_transparent_mosaic_group1.tif,0.11782919161765615,0.4410376006602381,2029.6078256141273,6613.35882190027,normalized,1918,6501,./outputs/binary_resnet50_rgb_balanced_cuda/debug_patches/train/0460_1.png
461,1,2023-18,16-CONP-MAD-SD-023-15_29102023_034_PV14_8,/mnt/parscratch/users/aca21jo/2025_Forge/OSINFOR_data/01. Ortomosaicos/2023/2023-18/16-CONP-MAD-SD-023-15_29102023_034_PV14_8_idw_transparent_mosaic_group1.tif,0.24609950000029224,0.581321595337728,4239.063887505034,8716.917322089232,normalized,4127,8605,./outputs/binary_resnet50_rgb_balanced_cuda/debug_patches/train/0461_1.png
462,1,2023-18,16-CONP-MAD-SD-023-15_29102023_034_PV14_8,/mnt/parscratch/users/aca21jo/2025_Forge/OSINFOR_data/01. Ortomosaicos/2023/2023-18/16-CONP-MAD-SD-023-15_29102023_034_PV14_8_idw_transparent_mosaic_group1.tif,0.6226352972417175,0.9388460692504683,10724.892994988584,14077.996808410773,normalized,10613,13966,./outputs/binary_resnet50_rgb_balanced_cuda/debug_patches/train/0462_1.png
482,1,2023-18,16-CONP-MAD-SD-023-15_29102023_014_pv15_7,/mnt/parscratch/users/aca21jo/2025_Forge/OSINFOR_data/01. Ortomosaicos/2023/2023-18/16-CONP-MAD-SD-023-15_29102023_014_pv15_7_idw.tif,0.6757960983790868,0.2014920291517814,12892.837964876218,3544.8492688672904,normalized,12781,3433,./outputs/binary_resnet50_rgb_balanced_cuda/debug_patches/train/0482_1.png
483,1,2023-18,16-CONP-MAD-SD-023-15_29102023_014_pv15_7,/mnt/parscratch/users/aca21jo/2025_Forge/OSINFOR_data/01. Ortomosaicos/2023/2023-18/16-CONP-MAD-SD-023-15_29102023_014_pv15_7_idw.tif,0.08408582479196029,0.746580860897687,1604.1893653810184,13134.597085773008,normalized,1492,13023,./outputs/binary_resnet50_rgb_balanced_cuda/debug_patches/train/0483_1.png
484,1,2023-18,16-CONP-MAD-SD-023-15_29102023_014_pv15_7,/mnt/parscratch/users/aca21jo/2025_Forge/OSINFOR_data/01. Ortomosaicos/2023/2023-18/16-CONP-MAD-SD-023-15_29102023_014_pv15_7_idw.tif,0.23893175542970177,0.6436563638562024,4558.34003008785,11323.846409322168,normalized,4446,11212,./outputs/binary_resnet50_rgb_balanced_cuda/debug_patches/train/0484_1.png
485,1,2023-18,16-CONP-MAD-SD-023-15_29102023_014_pv15_7,/mnt/parscratch/users/aca21jo/2025_Forge/OSINFOR_data/01. Ortomosaicos/2023/2023-18/16-CONP-MAD-SD-023-15_29102023_014_pv15_7_idw.tif,0.43647658369155745,0.3788020127244196,8327.100263667533,6664.263809860714,normalized,8215,6552,./outputs/binary_resnet50_rgb_balanced_cuda/debug_patches/train/0485_1.png
493,1,2023-18,16-CONP-MAD-SD-023-15_29102023_007_pv8_7,/mnt/parscratch/users/aca21jo/2025_Forge/OSINFOR_data/01. Ortomosaicos/2023/2023-18/16-CONP-MAD-SD-023-15_29102023_007_pv8_7_idw.tif,0.7343764368199279,0.5910912857478505,13184.994546664986,9767.192405697482,normalized,13073,9655,./outputs/binary_resnet50_rgb_balanced_cuda/debug_patches/train/0493_1.png
494,1,2023-18,16-CONP-MAD-SD-023-15_29102023_007_pv8_7,/mnt/parscratch/users/aca21jo/2025_Forge/OSINFOR_data/01. Ortomosaicos/2023/2023-18/16-CONP-MAD-SD-023-15_29102023_007_pv8_7_idw.tif,0.73287145606653,0.4109163356525822,13157.97412221848,6789.981530323268,normalized,13046,6678,./outputs/binary_resnet50_rgb_balanced_cuda/debug_patches/train/0494_1.png
